 Process Rank | Elapsed Time (s) | CPU Time (s) | Ratio CPU/Elapsed
 -------------|------------------|--------------|------------------
  296         |      19.033      |      18.556  |      0.975
  297         |      19.033      |      18.404  |      0.967
  298         |      19.033      |      18.392  |      0.966
  299         |      19.033      |      18.424  |      0.968
  300         |      19.033      |      18.396  |      0.967
  301         |      19.033      |      18.444  |      0.969
  302         |      19.033      |      18.380  |      0.966
  303         |      19.033      |      18.504  |      0.972
  304         |      19.033      |      18.452  |      0.969
  305         |      19.033      |      18.488  |      0.971
  306         |      19.033      |      18.416  |      0.968
  307         |      19.033      |      18.512  |      0.973
  308         |      19.033      |      18.520  |      0.973
  309         |      19.033      |      18.532  |      0.974
  310         |      19.033      |      18.536  |      0.974
  311         |      19.033      |      18.484  |      0.971
  312         |      19.033      |      18.400  |      0.967
  313         |      19.033      |      18.460  |      0.970
  314         |      19.033      |      18.440  |      0.969
  315         |      19.033      |      18.476  |      0.971
  316         |      19.033      |      18.480  |      0.971
  317         |      19.033      |      18.444  |      0.969
  318         |      19.033      |      18.536  |      0.974
  319         |      19.033      |      18.612  |      0.978
  320         |      19.033      |      18.456  |      0.970
  321         |      19.033      |      18.476  |      0.971
  322         |      19.033      |      18.464  |      0.970
  323         |      19.033      |      18.548  |      0.975
  324         |      19.033      |      18.448  |      0.969
  325         |      19.033      |      18.496  |      0.972
  326         |      19.033      |      18.472  |      0.971
  327         |      19.033      |      18.468  |      0.970
  328         |      19.033      |      18.576  |      0.976
  329         |      19.033      |      18.580  |      0.976
  330         |      19.033      |      18.344  |      0.964
  331         |      19.033      |      18.440  |      0.969
  332         |      19.033      |      18.552  |      0.975
  333         |      19.033      |      18.464  |      0.970
  334         |      19.033      |      18.592  |      0.977
  335         |      19.033      |      18.560  |      0.975
  336         |      19.033      |      18.540  |      0.974
  337         |      19.033      |      18.436  |      0.969
  338         |      19.033      |      18.508  |      0.972
  339         |      19.033      |      18.452  |      0.969
  340         |      19.033      |      18.600  |      0.977
  341         |      19.033      |      18.596  |      0.977
  342         |      19.033      |      18.556  |      0.975
  343         |      19.033      |      18.452  |      0.969
  344         |      19.033      |      18.500  |      0.972
  345         |      19.033      |      18.512  |      0.973
  346         |      19.033      |      18.552  |      0.975
  347         |      19.033      |      18.556  |      0.975
  348         |      19.033      |      18.472  |      0.971
  349         |      19.033      |      18.560  |      0.975
  350         |      19.033      |      18.516  |      0.973
  351         |      19.033      |      18.568  |      0.976
 -------------|------------------|--------------|------------------
